gene_name,transcript
IGSF1,ENST00000370903
TAPBP,ENST00000434618
CD300LG,ENST00000377203
SEZ6L2,ENST00000346932
SEZ6L2,ENST00000346932
CD8A,ENST00000352580
KREMEN2,ENST00000319500
CD8B,ENST00000393759
CD8B,ENST00000331469
CD8B,ENST00000393761
